id,song_id,alias,language,alias_type,normalized_alias,chosung_alias,source_url,source_name,verified_by,verification_note
alias_song_ja_0002_001,song_ja_0002,네가 모르는 이야기,ko,display_title,네가모르는이야기,ㄴㄱㅁㄹㄴㅇㅇㄱ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0002_002,song_ja_0002,君の知らない物語,ja,canonical_title,君の知らない物語,,https://en.wikipedia.org/wiki/Supercell_(band),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0002_003,song_ja_0002,Kimi no Shiranai Monogatari,ro,romanized_title,kiminoshiranaimonogatari,,https://en.wikipedia.org/wiki/Supercell_(band),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0002_004,song_ja_0002,The Story You Don't Know,en,english_title,thestoryyoudontknow,,https://en.wikipedia.org/wiki/Supercell_(band),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0002_005,song_ja_0002,바케모노가타리,ko,content,바케모노가타리,ㅂㅋㅁㄴㄱㅌㄹ,https://en.wikipedia.org/wiki/Supercell_(band),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0002_006,song_ja_0002,Bakemonogatari,en,content,bakemonogatari,,https://en.wikipedia.org/wiki/Supercell_(band),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0002_007,song_ja_0002,슈퍼셀,ko,artist,슈퍼셀,ㅅㅍㅅ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0003_001,song_ja_0003,아이러니,ko,display_title,아이러니,ㅇㅇㄹㄴ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0003_002,song_ja_0003,irony,ja,canonical_title,irony,,https://en.wikipedia.org/wiki/Irony_(ClariS_song),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0003_003,song_ja_0003,Oreimo,en,content,oreimo,,https://en.wikipedia.org/wiki/Irony_(ClariS_song),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0003_004,song_ja_0003,내 여동생이 이렇게 귀여울 리가 없어,ko,content,내여동생이이렇게귀여울리가없어,ㄴㅇㄷㅅㅇㅇㄹㄱㄱㅇㅇㄹㄱㅇㅇ,https://en.wikipedia.org/wiki/Irony_(ClariS_song),Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0003_005,song_ja_0003,俺の妹がこんなに可愛いわけがない,ja,content,俺の妹がこんなに可愛いわけがない,,https://en.wikipedia.org/wiki/Irony_(ClariS_song),Wikipedia,manjak,Staging metadata source; review before production use
